alias,office_code,office_name,confidence,support,total,all_votes,example_registration_id
新百CCmall广场,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024112200000004
新百CCmall海豚天盛洗车美容店,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025061900000064
新百CC贸一楼,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025012600000025
新百CC贸商城,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024121600000002
新百CC贸楼下伍里关火锅,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024112200000024
新百ccmall一楼森马店,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025021000000043
新百ccml,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024112000000028
新百cc贸,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025040800000018
新百广场,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025071600000038
新百广场1F-A-10,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002025012216066031
新百广场1F-A-19,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024102800000011
新百广场3F-A-05,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002025020509326675
新百广场3F-A-10,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024092000000063
新百广场5号楼1层152号,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002025011251626427
新百广场7#楼89#商贸房,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024092300000048
新百广场国际影城三楼游戏机区域,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025121300000008
新百广场第1号楼第1层11#、12#号,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024080800000011
新百广场第1号楼负一层1-1号,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024071500000009
新百广场第3号楼第1-2层237、238、239号,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002025051981282442
新百广场第三层3F-A-060708,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002024092425703787
新百电器店,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025091800000007
新百超市青铜峡市正科店,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025070600000024
新百连锁超市,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025040900000031
新百销售部商户,QTX_DABA,大坝市场监管所,1.0,1,1,"{""大坝市场监管所"": 1}",51640300002024111800000005
新盟通讯商户,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002024122300000112
方太厨卫商户,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025033100000005
无名称,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024102800000019
日丰管,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025112800000019
日丰管商户,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025021300000027
早市24号摊位,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025012000000088
早市“中百超市”,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025042300000075
旺家青铜峡市小坝镇佳私城,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025092400000022
旺家青铜峡市小坝镇佳私城发生时间：一周前消费金额：500元（,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025092400000022
旺得鲜美过桥米线,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025071400000006
昊泰酒店,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025010200000005
明君商行,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025112600000019
明昇通讯,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025090800000075
明珠西路十字路口（路南侧）第一家店（大坝电厂附近）,QTX_DABA,大坝市场监管所,1.0,1,1,"{""大坝市场监管所"": 1}",51640300002025091100000054
易网商店,QTX_HEXI,河西市场监管所,1.0,1,1,"{""河西市场监管所"": 1}",51640300002024102200000031
昕美美妍美妆体验店,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002024120200000007
星新通讯商铺,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025022600000031
星月神电动车,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002024102100000022
星月音乐会所,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025062200000001
